RSN,EQID,magnitude,Rjb,Rrup,Ztor,Rx,dip,Z1,rup_width,Z2pt5,D_hyp,Vs30,rake,mechanism,Station_latitude,Station_longitude,database
51,30,6.61,55.20000076,55.2,0,-54.51,50,100,12.592154,0.64,13,280.56,83,2,33.801,-118.387,NGA-W2
52,30,6.61,173.1600037,173.16,0,-38.46,50,60,12.592154,0.3,13,360.45,83,2,33.5556,-116.674,NGA-W2
53,30,6.61,111.8799973,113.02,0,85.74,50,80,12.592154,1.68,13,241.41,83,2,35.37,-119.021,NGA-W2
54,30,6.61,214.3200073,214.32,0,-62.28,50,80,12.592154,0.3,13,338.54,83,2,33.26,-116.37,NGA-W2
55,30,6.61,111.3700027,112.52,0,53.72,50,60,12.592154,4.3,13,385.69,83,2,35.16,-119.35,NGA-W2
56,30,6.61,61.79000092,61.79,0,-29.31,50,700,12.592154,4.4,13,235,83,2,33.9121,-117.838,NGA-W2
57,30,6.61,19.32999992,22.63,0,13.01,50,820,12.592154,1.62,13,450.28,83,2,34.564,-118.642,NGA-W2
58,30,6.61,92.25,92.59,0,26.59,50,40,12.592154,0.22,13,477.22,83,2,34.31,-117.3,NGA-W2
59,30,6.61,89.37000275,89.72,0,22.28,50,14,12.592154,0.22,13,813.48,83,2,34.2778,-117.335,NGA-W2
60,30,6.61,217.5399933,218.13,0,85.95,50,80,12.592154,4.22,13,184.75,83,2,35.733,-120.29,NGA-W2
61,30,6.61,218.1699982,218.75,0,77.4,50,80,12.592154,4.12,13,256.82,83,2,35.671,-120.359,NGA-W2
62,30,6.61,96.80999756,96.81,0,-0.61,50,80,12.592154,0.34,13,301.95,83,2,34.059,-117.312,NGA-W2
63,30,6.61,25.57999992,30.19,0,34.4,50,40,12.592154,0.24,13,634.33,83,2,34.704,-118.426,NGA-W2
64,30,6.61,59.52000046,61.64,0,37.06,50,40,12.592154,0.26,13,394.18,83,2,34.87,-118.9,NGA-W2
65,30,6.61,43.95000076,46.78,0,36.13,50,60,12.592154,0.28,13,308.35,83,2,34.808,-118.72,NGA-W2
66,30,6.61,139.1399994,139.14,0,-27.63,50,60,12.592154,0.28,13,328.09,83,2,33.729,-116.979,NGA-W2
67,30,6.61,130,130.98,0,131.22,50,40,12.592154,0.2,13,591,83,2,35.644,-118.474,NGA-W2
68,30,6.61,22.77000046,22.77,0,-22.3,50,260,12.592154,2.54,13,316.46,83,2,34.09,-118.339,NGA-W2
69,30,6.61,58.99000168,58.99,0,-54.07,50,140,12.592154,2.26,13,217.92,83,2,33.77,-118.23,NGA-W2
70,30,6.61,22.22999954,27.4,0,31.14,50,40,12.592154,0.24,13,425.34,83,2,34.674,-118.43,NGA-W2
71,30,6.61,13.98999977,19.3,0,16.3,50,80,12.592154,0.88,13,602.1,83,2,34.571,-118.56,NGA-W2
72,30,6.61,19.45000076,25.07,0,27.13,50,40,12.592154,0.24,13,600.06,83,2,34.65,-118.478,NGA-W2
73,30,6.61,17.21999931,22.57,0,20.24,50,40,12.592154,0.22,13,670.84,83,2,34.608,-118.558,NGA-W2
74,30,6.61,193.25,193.91,0,137.48,50,60,12.592154,0.24,13,303.79,83,2,35.997,-119.486,NGA-W2
75,30,6.61,108.5599976,109.73,0,38.73,50,60,12.592154,3.96,13,443.85,83,2,35.04,-119.429,NGA-W2
76,30,6.61,109.0100021,110.18,0,43.57,50,80,12.592154,4,13,441.25,83,2,35.078,-119.401,NGA-W2
78,30,6.61,24.15999985,28.99,0,31.37,50,60,12.592154,0.24,13,452.86,83,2,34.5781,-118.114,NGA-W2
79,30,6.61,25.46999931,25.47,0,-11.81,50,80,12.592154,1.1,13,415.13,83,2,34.139,-118.121,NGA-W2
80,30,6.61,21.5,21.5,0,-11.98,50,5.699999809,12.592154,0.3,13,969.07,83,2,34.1486,-118.171,NGA-W2
81,30,6.61,35.54000092,38.97,0,29.84,50,60,12.592154,0.24,13,529.09,83,2,34.5083,-117.922,NGA-W2
82,30,6.61,68.83999634,68.84,0,-36.79,50,760,12.592154,4.56,13,248.98,83,2,34.145,-119.206,NGA-W2
83,30,6.61,52.63999939,52.64,0,-9.37,50,60,12.592154,0.32,13,421.44,83,2,34.091,-117.808,NGA-W2
84,30,6.61,205.7700043,205.77,0,-140.48,50,60,12.592154,0.24,13,354.06,83,2,32.719,-117.163,NGA-W2
85,30,6.61,108.0100021,108.01,0,-70.57,50,780,12.592154,3.48,13,459.37,83,2,33.4894,-117.671,NGA-W2
86,30,6.61,124.7900009,124.79,0,-80.63,50,120,12.592154,0.96,13,442.88,83,2,33.37,-117.56,NGA-W2
87,30,6.61,30.70000076,30.7,0,-4.38,50,40,12.592154,1.04,13,667.13,83,2,34.185,-118.018,NGA-W2
88,30,6.61,24.69000053,24.87,0,-1.33,50,860,12.592154,4.26,13,389,83,2,34.46,-118.753,NGA-W2
89,30,6.61,61.75,63.79,0,46.82,50,80,12.592154,0.6,13,669.48,83,2,34.9417,-118.827,NGA-W2
90,30,6.61,124.3799973,124.41,0,-40.17,50,860,12.592154,3.76,13,322.42,83,2,34.41,-119.85,NGA-W2
91,30,6.61,61.72000122,61.73,0,0.74,50,820,12.592154,1.02,13,487.23,83,2,34.155,-117.675,NGA-W2
92,30,6.61,68.37999725,70.23,0,56.87,50,80,12.592154,0.96,13,347.67,83,2,35.027,-118.791,NGA-W2
93,30,6.61,39.45000076,39.45,0,-22.94,50,1420,12.592154,4.62,13,298.68,83,2,34.02,-118.053,NGA-W2
94,30,6.61,61.63999939,62.23,0,23.83,50,60,12.592154,0.26,13,486,83,2,34.36,-117.63,NGA-W2
322,76,6.36,23.78000069,24.02,3.4,-17.84,30,60,9.94489,0.24,4.6,274.73,90,2,36.503,-120.32,NGA-W2
323,76,6.36,55.04999924,55.77,3.4,53.29,30,80,9.94489,3.4,4.6,359.03,90,2,35.639,-120.404,NGA-W2
324,76,6.36,42.75999832,43.68,3.4,37.01,30,80,9.94489,4.12,4.6,326.64,90,2,35.743,-120.277,NGA-W2
325,76,6.36,41.99000168,42.92,3.4,35.21,30,60,9.94489,4.08,4.6,522.74,90,2,35.751,-120.259,NGA-W2
326,76,6.36,43.83000183,44.72,3.4,38.62,30,80,9.94489,4.22,4.6,173.02,90,2,35.733,-120.29,NGA-W2
327,76,6.36,40.00999832,40.98,3.4,32.98,30,60,9.94489,3.92,4.6,397.36,90,2,35.77,-120.247,NGA-W2
328,76,6.36,44.81999969,45.7,3.4,39.57,30,60,9.94489,4.34,4.6,230.57,90,2,35.724,-120.294,NGA-W2
329,76,6.36,46.72999954,47.57,3.4,42.32,30,80,9.94489,4.44,4.6,283.38,90,2,35.707,-120.316,NGA-W2
330,76,6.36,45.49000168,46.35,3.4,40.69,30,60,9.94489,4.34,4.6,410.4,90,2,35.718,-120.304,NGA-W2
331,76,6.36,47.88000107,48.7,3.4,43.87,30,80,9.94489,4.42,4.6,236.59,90,2,35.697,-120.328,NGA-W2
332,76,6.36,49.40000153,50.2,3.4,45.78,30,80,9.94489,4.3,4.6,251.57,90,2,35.684,-120.342,NGA-W2
333,76,6.36,50.97999954,51.75,3.4,47.89,30,80,9.94489,4.12,4.6,256.82,90,2,35.671,-120.359,NGA-W2
334,76,6.36,41.04000092,41.99,3.4,37.85,30,80,9.94489,4.02,4.6,178.27,90,2,35.758,-120.307,NGA-W2
335,76,6.36,30.34000015,31.62,3.4,36.78,30,60,9.94489,6.22,4.6,372.73,90,2,35.872,-120.422,NGA-W2
336,76,6.36,27.10000038,28.52,3.4,33.37,30,80,9.94489,7.78,4.6,541.73,90,2,35.896,-120.398,NGA-W2
337,76,6.36,27.95999908,29.34,3.4,35.45,30,80,9.94489,7.34,4.6,265.21,90,2,35.899,-120.433,NGA-W2
338,76,6.36,28.11000061,29.48,3.4,36.41,30,80,9.94489,6.8,4.6,246.07,90,2,35.908,-120.458,NGA-W2
339,76,6.36,28,29.38,3.4,36.94,30,60,9.94489,6.26,4.6,307.59,90,2,35.921,-120.481,NGA-W2
340,76,6.36,26.20000076,27.67,3.4,34.84,30,80,9.94489,7.42,4.6,384.26,90,2,35.927,-120.456,NGA-W2
341,76,6.36,37.91999817,38.95,3.4,37.43,30,80,9.94489,4.12,4.6,294.26,90,2,35.787,-120.334,NGA-W2
342,76,6.36,36.13999939,37.22,3.4,36.22,30,80,9.94489,4.24,4.6,211.74,90,2,35.803,-120.334,NGA-W2
343,76,6.36,33.41999817,34.59,3.4,37.73,30,80,9.94489,5.18,4.6,220.75,90,2,35.836,-120.395,NGA-W2
344,76,6.36,31.63999939,32.87,3.4,37.63,30,60,9.94489,6.02,4.6,266.65,90,2,35.859,-120.42,NGA-W2
345,76,6.36,29.90999985,31.21,3.4,35.67,30,80,9.94489,6.52,4.6,297.46,90,2,35.871,-120.404,NGA-W2
346,76,6.36,28.57999992,29.94,3.4,33.62,30,80,9.94489,6.64,4.6,308.84,90,2,35.878,-120.381,NGA-W2
347,76,6.36,30.43000031,31.71,3.4,37.76,30,60,9.94489,6.26,4.6,372.26,90,2,35.879,-120.445,NGA-W2
348,76,6.36,35.04000092,36.15,3.4,37.98,30,80,9.94489,4.76,4.6,214.43,90,2,35.818,-120.378,NGA-W2
349,76,6.36,31.85000038,33.07,3.4,34.1,30,80,9.94489,5.2,4.6,360.92,90,2,35.843,-120.348,NGA-W2
350,76,6.36,35.93000031,37.02,3.4,39.29,30,80,9.94489,4.72,4.6,290.5,90,2,35.812,-120.391,NGA-W2
351,76,6.36,28.71999931,30.07,3.4,31.13,30,80,9.94489,5.54,4.6,450.61,90,2,35.87,-120.334,NGA-W2
352,76,6.36,38.09999847,39.12,3.4,41.83,30,60,9.94489,4.5,4.6,510.92,90,2,35.796,-120.411,NGA-W2
353,76,6.36,40.13000107,41.1,3.4,44.84,30,60,9.94489,3.86,4.6,421.2,90,2,35.785,-120.444,NGA-W2
354,76,6.36,42.72000122,43.64,3.4,48.16,30,60,9.94489,0.34,4.6,441.37,90,2,35.77,-120.477,NGA-W2
355,76,6.36,47.04000092,47.88,3.4,52.57,30,60,9.94489,0.34,4.6,232.44,90,2,35.738,-120.507,NGA-W2
356,76,6.36,35.29000092,36.4,3.4,32.25,30,80,9.94489,4.26,4.6,566.33,90,2,35.81,-120.282,NGA-W2
357,76,6.36,32.81000137,34,3.4,29.72,30,80,9.94489,4.22,4.6,565.08,90,2,35.833,-120.27,NGA-W2
358,76,6.36,30.29999924,31.58,3.4,28.77,30,80,9.94489,4.5,4.6,492.43,90,2,35.855,-120.281,NGA-W2
359,76,6.36,24.82999992,26.38,3.4,34.2,30,80,9.94489,5.9,4.6,381.27,90,2,35.957,-120.481,NGA-W2
360,76,6.36,27.71999931,29.12,3.4,37,30,60,9.94489,4.58,4.6,284.21,90,2,35.934,-120.497,NGA-W2
362,76,6.36,29.01000023,30.35,3.4,38.32,30,80,9.94489,0.34,4.6,438.74,90,2,35.927,-120.509,NGA-W2
363,76,6.36,30.90999985,32.17,3.4,40.35,30,60,9.94489,0.34,4.6,308.87,90,2,35.922,-120.534,NGA-W2
364,76,6.36,33.27999878,34.45,3.4,42.69,30,60,9.94489,0.34,4.6,386.19,90,2,35.905,-120.55,NGA-W2
366,76,6.36,39.93999863,40.92,3.4,49.33,30,80,9.94489,1,4.6,392.24,90,2,35.861,-120.6,NGA-W2
367,76,6.36,7.690000057,8.41,3.4,-7.69,30,60,9.94489,0.24,4.6,257.38,90,2,36.308,-120.249,NGA-W2
368,76,6.36,7.690000057,8.41,3.4,-7.69,30,524.3945923,9.94489,2.4041984,4.6,257.38,90,2,36.308,-120.249,NGA-W2
369,76,6.36,25.97999954,27.46,3.4,35.51,30,40,9.94489,0.28,4.6,648.09,90,2,36.034,-120.59,NGA-W2
589,113,5.99,1.669999957,14.66,14.5,1.33,30,1500,7.1994615,3.7,14.6,549.75,150,3,34.07,-118.15,NGA-W2
590,113,5.99,8.720000267,19.52,14.5,13.92,30,80,7.1994615,0.72,14.6,375.16,150,3,34.177,-118.096,NGA-W2
591,113,5.99,25.80999947,29.6,14.5,-23.2,30,1200,7.1994615,5.1,14.6,269.29,150,3,33.817,-117.951,NGA-W2
592,113,5.99,4.53000021,17.42,14.5,9.73,30,800,7.1994615,1.8,14.6,367.53,150,3,34.13,-118.036,NGA-W2
593,113,5.99,32.56000137,36.97,14.5,14.97,30,820,7.1994615,4.42,14.6,297.71,150,3,34.236,-118.439,NGA-W2
594,113,5.99,4.340000153,16.72,14.5,7.44,30,240,7.1994615,2.78,14.6,544.68,150,3,34.1,-117.974,NGA-W2
595,113,5.99,10.31000042,17.79,14.5,-10.3,30,800,7.1994615,4.7,14.6,267.13,150,3,33.965,-118.158,NGA-W2
596,113,5.99,25.90999985,29.9,14.5,3.55,30,880,7.1994615,1.28,14.6,545.66,150,3,34.127,-118.405,NGA-W2
597,113,5.99,29.09000015,32.7,14.5,3.56,30,900,7.1994615,1.5,14.6,355.81,150,3,34.132,-118.439,NGA-W2
598,113,5.99,22.5,28.5,14.5,23.82,30,40,7.1994615,0.26,14.6,550.11,150,3,34.286,-118.225,NGA-W2
599,113,5.99,18.38999939,23.42,14.5,-11.46,30,1060,7.1994615,3.66,14.6,322.75,150,3,33.916,-117.896,NGA-W2
600,113,5.99,19.11000061,23.99,14.5,-14.81,30,1040,7.1994615,3.64,14.6,437.5,150,3,33.89,-117.927,NGA-W2
601,113,5.99,19.12000084,24,14.5,-14.75,30,1040,7.1994615,3.64,14.6,437.5,150,3,33.8904,-117.9258,NGA-W2
602,113,5.99,20.37000084,26.34,14.5,9.21,30,840,7.1994615,2.44,14.6,320.57,150,3,34.168,-118.331,NGA-W2
603,113,5.99,52.75999832,54.74,14.5,1.54,30,960,7.1994615,3.86,14.6,403.72,150,3,34.15,-118.696,NGA-W2
604,113,5.99,45.97999954,48.96,14.5,9.73,30,1020,7.1994615,4.32,14.6,267.49,150,3,34.212,-118.606,NGA-W2
605,113,5.99,44.88000107,48.18,14.5,35.24,30,940,7.1994615,4.84,14.6,325.6,150,3,34.419,-118.426,NGA-W2
606,113,5.99,22.56999969,26.82,14.5,-10.95,30,700,7.1994615,4.4,14.6,235,150,3,33.9121,-117.838,NGA-W2
607,113,5.99,29.85000038,33.19,14.5,-28.86,30,1680,7.1994615,2.68,14.6,305.14,150,3,33.812,-118.27,NGA-W2
608,113,5.99,26.29999924,30.03,14.5,-25.75,30,960,7.1994615,3.66,14.6,160.58,150,3,33.836,-118.24,NGA-W2
609,113,5.99,62.56000137,64.96,14.5,36.15,30,780,7.1994615,3.28,14.6,421.05,150,3,34.459,-118.65,NGA-W2
610,113,5.99,70.04000092,72.2,14.5,47.79,30,820,7.1994615,1.62,14.6,450.28,150,3,34.564,-118.642,NGA-W2
611,113,5.99,18.31999969,23.37,14.5,-18.14,30,980,7.1994615,2.98,14.6,266.9,150,3,33.899,-118.196,NGA-W2
612,113,5.99,13.57999992,20.91,14.5,6.69,30,820,7.1994615,1.42,14.6,346.62,150,3,34.078,-117.871,NGA-W2
613,113,5.99,9.489999771,18.59,14.5,6.97,30,320,7.1994615,2.5,14.6,324.79,150,3,34.087,-117.915,NGA-W2
614,113,5.99,14.89999962,20.79,14.5,-14.9,30,1100,7.1994615,5.4,14.6,245.06,150,3,33.92,-118.137,NGA-W2
615,113,5.99,14.94999981,20.82,14.5,-14.94,30,1300,7.1994615,4.4,14.6,271.9,150,3,33.924,-118.167,NGA-W2
616,113,5.99,0.75,15.67,14.5,5.95,30,460,7.1994615,2.96,14.6,290.63,150,3,34.093,-118.019,NGA-W2
617,113,5.99,35.04000092,37.92,14.5,-13.56,30,800,7.1994615,2.6,14.6,367.54,150,3,33.869,-117.709,NGA-W2
618,113,5.99,36.68999863,39.45,14.5,-33.71,30,980,7.1994615,3.58,14.6,270.54,150,3,33.719,-117.937,NGA-W2
619,113,5.99,0.360000014,14.5,14.5,-0.36,30,200,7.1994615,3.2,14.6,468.18,150,3,34.049,-118.112,NGA-W2
620,113,5.99,14.68000031,22.82,14.5,14.29,30,100,7.1994615,0.44,14.6,371.07,150,3,34.2,-118.231,NGA-W2
621,113,5.99,13.67000008,22.11,14.5,12.96,30,880,7.1994615,1.18,14.6,362.31,150,3,34.137,-117.883,NGA-W2
622,113,5.99,9.600000381,17.39,14.5,-4.11,30,200,7.1994615,2.62,14.6,337,150,3,33.99,-117.943,NGA-W2
623,113,5.99,102.8799973,103.9,14.5,-16.69,30,60,7.1994615,0.28,14.6,328.09,150,3,33.729,-116.979,NGA-W2
624,113,5.99,42.15999985,44.58,14.5,-40.92,30,860,7.1994615,2.66,14.6,315.52,150,3,33.662,-117.997,NGA-W2
625,113,5.99,21.40999985,25.86,14.5,-18.8,30,1100,7.1994615,4.4,14.6,316.02,150,3,33.905,-118.279,NGA-W2
626,113,5.99,18.22999954,23.29,14.5,-15.87,30,900,7.1994615,6.2,14.6,301,150,3,33.929,-118.26,NGA-W2
627,113,5.99,21.51000023,25.94,14.5,-8.7,30,1260,7.1994615,4.26,14.6,297.07,150,3,34.009,-118.361,NGA-W2
628,113,5.99,28,31.53,14.5,-10.68,30,780,7.1994615,3.58,14.6,321.91,150,3,34.001,-118.431,NGA-W2
629,113,5.99,26.13999939,29.89,14.5,-3.67,30,860,7.1994615,3.96,14.6,277.98,150,3,34.063,-118.418,NGA-W2
